"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","ISO"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","1","New South Wales","A","Annual","2019","2019",8089817,,"AU-NSW"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","2","Victoria","A","Annual","2019","2019",6596039,,"AU-VIC"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","3","Queensland","A","Annual","2019","2019",5094510,,"AU-QLD"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","4","South Australia","A","Annual","2019","2019",1751963,,"AU-SA"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","5","Western Australia","A","Annual","2019","2019",2621509,,"AU-WA"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","6","Tasmania","A","Annual","2019","2019",534457,,"AU-TAS"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","7","Northern Territory","A","Annual","2019","2019",245929,,"AU-NT"
"ERP","Estimated Resident Population","LGA2019","Local Government Areas (2019)","8","Australian Capital Territory","A","Annual","2019","2019",426704,,"AU-ACT"

